,id,date,text,favorite_count
23,1312659983247515648,Sun Oct 04 07:45:02 +0000 2020,RT @jokermovie: Get tickets now. #JokerMovie - in theaters October 4. https://t.co/pqzjjgYTH8 https://t.co/fTKFTvz4Ur,0
24,1312659868747169792,Sun Oct 04 07:44:35 +0000 2020,RT @jokermovie: Get tickets now: https://t.co/pqzjjhguyG #JokerMovie now playing. https://t.co/BfPs7Qgh3s,0
25,1312659655898869760,Sun Oct 04 07:43:44 +0000 2020,RT @jokermovie: Put on a happy face. Own #JokerMovie on Digital now. https://t.co/2g1XEXTtXC,0
48,1312418396567371783,Sat Oct 03 15:45:03 +0000 2020,"One year ago today I saw Joker and absolutely loved it. #timehop #jokermovie @ Jacksonville, North Carolina https://t.co/suyKmHG1y8",0
47,1312418634875232258,Sat Oct 03 15:46:00 +0000 2020,RT @HeathLegend: 🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as 𝗧𝗵𝗲 𝗝𝗼𝗸𝗲𝗿 from 𝗝𝗼𝗸𝗲𝗿 – 1/1 Life-Size Scale Bust by Infinity Studio at Wonder Festival. 🤡…,0
42,1312451659289649152,Sat Oct 03 17:57:14 +0000 2020,RT @HeathLegend: 🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/3 Scale Bust by Queen Studios at Wonder Festival in Shanghai. ht…,0
41,1312512222703226881,Sat Oct 03 21:57:53 +0000 2020,"RT @iTunes: The Joker's past isn't very funny at all. 🃏
See #JoaquinPhoenix in #JokerMovie this October. https://t.co/S4noCJm97N",0
40,1312529897269547009,Sat Oct 03 23:08:07 +0000 2020,How can I forget? The 1st anniversary is tomorrow. 🃏 #JokerMovie #SaturdayThoughts,0
38,1312539985355198465,Sat Oct 03 23:48:12 +0000 2020,"RT @caleblovesfilm: ‘Joker’ was released a year ago today 🎉 

#FilmTwitter #Films #Movies #Joker #JokerMovie #JoaquinPhoenix #ToddPhillips…",0
37,1312596955248254976,Sun Oct 04 03:34:35 +0000 2020,RT @jokermovie: “Joaquin Phoenix astounds.” #JokerMovie - this Thursday. Tickets: https://t.co/pqzjjhguyG https://t.co/81YoG1SGrn,0
36,1312597367028289536,Sun Oct 04 03:36:13 +0000 2020,RT @jokermovie: “Joaquin Phoenix is astonishing.” #JokerMovie - in theaters October 4. https://t.co/ckGSF5UA4K,0
34,1312610656282181632,Sun Oct 04 04:29:02 +0000 2020,"RT @GematriaClub: #JokerMovie Premieres 10/4
Joaquin Rafael Phoenix =104
Joaquin Phoenix + The Joker =1040

Movie Is Coded In #Kabbalah  ↙️…",0
33,1312625036541403137,Sun Oct 04 05:26:10 +0000 2020,"RT @rokko_joker: Each way 

#JokerMovie 
#joker
#ジョーカー https://t.co/qQTrNLoiqH",0
32,1312636218383847424,Sun Oct 04 06:10:36 +0000 2020,"RT @caleblovesfilm: ‘Joker’ was released a year ago today 🎉 

#FilmTwitter #Films #Movies #Joker #JokerMovie #JoaquinPhoenix #ToddPhillips…",0
31,1312645037293924352,Sun Oct 04 06:45:39 +0000 2020,"RT @BestFilmylines_: - Joker (2019)
Director: Todd Phillips

#Joker #JoaquinPhoenix #JokerMovie #ToddPhillips #hollywood #hollywoodmovie #h…",0
28,1312659268353634306,Sun Oct 04 07:42:12 +0000 2020,RT @jokermovie: “You wouldn’t get it.” #JokerMovie https://t.co/ZOyfVdt6Av,0
27,1312659335802236928,Sun Oct 04 07:42:28 +0000 2020,"RT @jokermovie: Own #JokerMovie on Digital and 4K Ultra HD Blu-ray today. 
https://t.co/RHqe4p7WXI https://t.co/Qt6dZKhdZe",0
26,1312659644901359618,Sun Oct 04 07:43:42 +0000 2020,RT @jokermovie: Own #JokerMovie on 4K Ultra HD Blu-ray in ONE WEEK. https://t.co/samFtP0FVp,0
90,1312189681811910658,Sat Oct 03 00:36:14 +0000 2020,RT @HeathLegend: 🆕 First Look: 𝗝𝗼𝗮𝗾𝘂𝗶𝗻 𝗣𝗵𝗼𝗲𝗻𝗶𝘅 as The Joker from 𝗝𝗼𝗸𝗲𝗿 – 1/3 Scale Statue by Queen Studios at Wonder Festival in Shanghai.…,0
